"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"12-ZHUC-L-RF1.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"12-ZHUC-L-RF2.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"13-ZHRD-L-LF1_rep.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,2
"13-ZHRD-L-LF1.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"13-ZHRD-L-LF2.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,1
"13-ZHRD-L-RF1_rep.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,2
"13-ZHRD-L-RF1.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"13-ZHRD-L-RF2.txt","ZH_R_D_13_L","13","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,1
"13-ZHUC-L-LF1.txt","ZH_U_C_13_L","13","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"13-ZHUC-L-RF1.txt","ZH_U_C_13_L","13","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"14-ZHRD-L-LF1.txt","ZH_R_D_14_L","14","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
